Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Finals,T1,Gen.G,2 - 3,2.0,25.13,Maokai,Pantheon,Neeko,Varus,Kai'Sa,Lee Sin,Renekton,"Nidalee, Aatrox","Caitlyn, Karma",Aurora,Twisted Fate,Blitzcrank,Yasuo,Leona,Miss Fortune,"Viego, Ahri",Pyke,Top,Bot,Support,Jungle,Mid,Jungle,Top,Mid,Bot,Support,SB,https://youtu.be/TQiYG-tKakY?feature=shared&t=102
Finals,Gen.G,T1,2 - 2,1.0,25.13,Neeko,Pantheon,Sylas,Varus,Yorick,Blitzcrank,Viktor,"Skarner, Jinx","Trundle, Jayce",Tahm Kench,Ziggs,Gragas,Lulu,Ambessa,K'Sante,"Zeri, Rakan",Hwei,Mid,Jungle,Top,Bot,Support,Jungle,Bot,Support,Top,Mid,SB,https://youtu.be/wc_UWgyDj7k?feature=shared&t=50
Finals,T1,Gen.G,2 - 1,1.0,25.13,Viktor,Varus,Neeko,Pantheon,K'Sante,Skarner,Azir,"Rumble, Xin Zhao","Nocturne, Ornn",Annie,Bard,Tahm Kench,Rakan,Kai'Sa,Rell,"Xayah, Renata Glasc",Sivir,Mid,Jungle,Top,Bot,Support,Top,Jungle,Mid,Support,Bot,SB,https://youtu.be/KUmSPnFu7yU?feature=shared&t=40
Finals,Gen.G,T1,1 - 1,1.0,25.13,Neeko,Pantheon,Rumble,Varus,Annie,Azir,Ryze,"Wukong, Corki","Vi, Sion",Galio,Kai'Sa,Ambessa,Xayah,Bard,Poppy,"Senna, Nautilus",Camille,Mid,Jungle,Top,Bot,Support,Jungle,Bot,Mid,Support,Top,SB,https://youtu.be/YfDDZA5MLUk?feature=shared&t=141
Finals,Gen.G,T1,1 - 0,2.0,25.13,Neeko,Pantheon,Azir,Vi,Viktor,Varus,Taliyah,"Gwen, Jarvan IV","Lucian, Braum",Orianna,Xin Zhao,Senna,Wukong,Rakan,Jhin,"Sejuani, Jax",Alistar,Mid,Bot,Support,Jungle,Top,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/StJB2PjAkGg?feature=shared&t=600
Bracket Round 4,Anyone's Legend,T1,2 - 3,2.0,25.13,Nocturne,Pantheon,Taliyah,Azir,Caitlyn,Sion,Twisted Fate,"Alistar, Jinx","Ziggs, Poppy",Skarner,Camille,Ahri,Bard,LeBlanc,Hwei,"Aatrox, Olaf",Gragas,Mid,Bot,Support,Top,Jungle,Support,Bot,Jungle,Mid,Top,SB,https://youtu.be/gKeyZ9DR91k?feature=shared&t=75
Bracket Round 4,T1,Anyone's Legend,2 - 2,1.0,25.13,Twisted Fate,Pantheon,Poppy,Azir,Sion,Taliyah,Corki,"Ambessa, Sylas","Jax, Rakan",Maokai,Skarner,Alistar,Cassiopeia,Jinx,Senna,"Xayah, Lillia",Tahm Kench,Mid,Top,Support,Bot,Jungle,Top,Mid,Jungle,Bot,Support,SB,https://youtu.be/Ov8O5BSNgYk?feature=shared&t=50
Bracket Round 4,Anyone's Legend,T1,2 - 1,1.0,25.13,Ambessa,Pantheon,Taliyah,Azir,Twisted Fate,Bard,Varus,"Neeko, Jarvan IV","Rumble, Leona",Ornn,Poppy,Corki,Sylas,Sivir,Aurora,"Viktor, Xin Zhao",Miss Fortune,Bot,Top,Support,Mid,Jungle,Support,Jungle,Top,Mid,Bot,SB,https://youtu.be/sW7VMp9knjM?feature=shared&t=66
Bracket Round 4,T1,Anyone's Legend,1 - 1,1.0,25.13,Taliyah,Pantheon,Neeko,Varus,Jarvan IV,Azir,Lucian,"Trundle, Yorick","Braum, Ryze",Orianna,Nocturne,Rakan,Jax,Alistar,Karma,"Lee Sin, Renekton",Ezreal,Bot,Support,Mid,Jungle,Top,Jungle,Top,Mid,Support,Bot,SB,https://youtu.be/r7CqwhYWZ9I?feature=shared&t=55
Bracket Round 4,T1,Anyone's Legend,0 - 1,2.0,25.13,Taliyah,Pantheon,Neeko,Azir,Ryze,Varus,Gwen,"Annie, Wukong","Vi, Galio",Jayce,Rakan,Poppy,Alistar,Lucian,Rell,"Jhin, Nautilus",Kai'Sa,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top,Support,Bot,SB,https://youtu.be/i-ch_7ihG34?feature=shared&t=45
Bracket Round 4,Gen.G,T1,3 - 2,1.0,25.13,Caitlyn,Varus,Yorick,Vi,Twisted Fate,Maokai,Aurora,"Lee Sin, Sylas","Nidalee, Renekton",Ambessa,Leona,Nautilus,Blitzcrank,Ziggs,Draven,"Jinx, Tahm Kench",Pyke,Mid,Jungle,Top,Bot,Support,Jungle,Mid,Top,Bot,Support,SB,https://youtu.be/gq76UxQXge0?si=D71eQ51liVkj8M2t&t=96
