Champion,Games (Contests),PB%,B,Games Played,Played By Number of Players,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,Damage,DMG/M,Kill Participation ((K+A)/Team K),Kill Share (K/Team K),Gold Share
Varus,55,68.80%,41,14,7,9,5,64.30%,5.21,2.79,6.93,4.36,314.21,9.26,14.9,440,29.8k,878.3,70.50%,30.30%,23.40%
Twisted Fate,53,66.30%,45,8,5,0,8,0%,1.38,3.63,3.25,1.28,257.88,8.19,13,413,14.8k,469.8,66.10%,19.60%,24%
Pantheon,46,57.50%,33,13,9,9,4,69.20%,5.08,2.46,8.15,5.38,233.15,6.75,13.7,397,20.6k,595,69.60%,26.70%,20.70%
Azir,45,56.30%,35,10,7,6,4,60%,4.5,2.3,5,4.13,307,9.17,14.6,435,26.8k,800,69.90%,33.10%,23.50%
Vi,41,51.20%,24,17,9,7,10,41.20%,1.94,3.47,7.06,2.59,209.53,6.42,11.4,350,10.5k,322.2,63.20%,13.60%,19.10%
Taliyah,41,51.20%,26,15,9,10,5,66.70%,3.87,2.67,8.67,4.7,272.6,8.38,13.3,409,22.9k,704,74.30%,22.90%,21.70%
Gwen,38,47.50%,29,9,5,4,5,44.40%,3.56,3.56,5.11,2.44,247.11,7.65,13,403,20.6k,637.7,61.90%,25.40%,22%
Poppy,35,43.80%,19,16,11,9,7,56.30%,2.38,2.56,9.31,4.56,153.38,4.77,10.5,328,12k,373.8,71.90%,14.60%,17.40%
Rumble,34,42.50%,17,17,8,8,9,47.10%,3.88,3.12,7.29,3.58,256.47,7.57,13.1,386,25k,737.3,64.20%,22.30%,20.80%
Lucian,32,40%,19,13,8,8,5,61.50%,6.46,2.38,5.77,5.13,296.54,9.19,14.8,457,23.9k,740,66.80%,35.30%,24%
Alistar,31,38.80%,14,17,8,9,8,52.90%,0.47,3.06,11.71,3.98,29.65,0.87,8.1,239,4.3k,127.9,78.70%,3%,12.80%
Maokai,29,36.30%,21,8,5,3,5,37.50%,1.63,2.13,7.88,4.47,197.88,6.19,10.6,330,17.3k,539.5,74.50%,12.70%,18.40%
Kalista,28,35%,18,10,7,0,10,0%,2.9,3.6,1.8,1.31,288.8,8.88,12.9,397,16k,490.4,63.50%,39.20%,23.80%
Nocturne,28,35%,21,7,5,5,2,71.40%,3.43,2.57,9.43,5,209.86,6.61,11.7,369,16.4k,518.2,68.20%,18.20%,19.50%
Sion,27,33.80%,12,15,8,9,6,60%,1.8,2.73,7.07,3.24,248.33,7.38,12,358,18.6k,552.5,57.80%,11.70%,19.40%
Neeko,26,32.50%,10,16,8,8,8,50%,0.88,4,8.5,2.34,51.06,1.57,8.5,260,12.2k,374.9,71.80%,6.70%,14.10%
Annie,26,32.50%,11,15,7,11,4,73.30%,3.47,3.13,9.07,4,244.13,7.32,12.7,380,22.3k,667.8,69.60%,19.30%,20%
Rakan,26,32.50%,11,15,8,9,6,60%,0.47,2.47,9.8,4.16,32.27,1.01,8,249,5k,155.4,73%,3.30%,13.40%
Miss Fortune,26,32.50%,15,11,7,5,6,45.50%,2.91,2.64,4,2.62,323.27,9.77,14.5,438,21.4k,647.1,60.30%,25.40%,23.90%
Ezreal,25,31.30%,10,15,8,4,11,26.70%,3.07,2.33,4,3.03,305.4,9.25,13.8,418,27k,818,62.40%,27.10%,23.60%
Trundle,25,31.30%,11,14,8,8,6,57.10%,2.57,1.71,7,5.58,213.36,6.66,11.9,371,10.8k,337.4,76.10%,20.50%,20.30%
Rell,24,30%,6,18,8,7,11,38.90%,0.67,4.33,9.78,2.41,30.06,0.95,7.8,245,5.8k,182.8,73.40%,4.70%,13.50%
Kai'Sa,24,30%,12,12,7,7,5,58.30%,4.58,1.67,4.83,5.65,303.08,9.52,14.4,451,20.3k,638.1,65.30%,31.80%,24%
Ryze,23,28.70%,7,16,8,10,6,62.50%,3.88,3.06,7.13,3.59,297.25,9.07,14.2,434,20.8k,634.7,64.20%,22.60%,22.70%
Aurora,23,28.70%,7,16,7,7,9,43.80%,4.19,1.88,6,5.43,263,8.35,13,411,26.5k,839.9,68.80%,28.30%,22.10%
Nautilus,23,28.70%,9,14,8,5,9,35.70%,0.71,5.36,8.71,1.76,34.36,1.06,8,245,6.1k,188.1,69.10%,5.20%,13.50%
Renekton,23,28.70%,11,12,7,6,6,50%,2.5,3.5,5.08,2.17,258.75,8.22,12.3,390,17.7k,562.5,58.30%,19.20%,21.10%
Xin Zhao,22,27.50%,5,17,7,7,10,41.20%,2.82,3.53,6.06,2.52,224.59,6.77,12,363,16.2k,487.4,70.60%,22.40%,20.20%
Wukong,22,27.50%,6,16,9,10,6,62.50%,3.69,3.19,8,3.67,215.13,6.55,12.4,378,14k,427.5,70.60%,22.30%,20.10%
Braum,22,27.50%,9,13,6,10,3,76.90%,0.54,2.62,13.62,5.41,29.69,0.94,8.2,258,6.3k,198.3,79%,3%,13.20%
