Player Name,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP
Flandre,21,13,8,61.9%,3.14,2.57,6.19,3.63,254.43,7.91,12.6,392,19.2k,595.2,59.9%,20.2%,20.9%,11
Hope,21,13,8,61.9%,4.81,2.52,6.24,4.38,303.43,9.43,14.4,448,24.5k,762.4,70.9%,30.9%,23.8%,12
Kael,21,13,8,61.9%,0.43,3.24,11.52,3.69,36.76,1.14,8,250,6.7k,209.1,76.8%,2.8%,13.3%,11
Shanks,21,13,8,61.9%,4,2.86,6.71,3.75,269.43,8.37,13.2,410,21.9k,681,68.8%,25.7%,21.8%,12
Tarzan,21,13,8,61.9%,3.19,2.43,8.24,4.71,223.19,6.94,12.2,378,15.2k,471.1,73.4%,20.5%,20.1%,11
Beichuan,21,12,9,57.1%,2.67,3.48,8.1,3.1,212.81,6.41,11.9,357,14.5k,435.7,65.7%,16.3%,19%,9
Bin,21,12,9,57.1%,3.14,2.24,6,4.09,265.67,8,12.9,388,19.4k,583.6,55.8%,19.2%,20.6%,11
Elk,21,12,9,57.1%,4.52,2.48,6.1,4.29,313.52,9.44,15,452,26.2k,787.4,64.8%,27.6%,24.1%,10
Knight,21,12,9,57.1%,5.29,2.43,6.71,4.94,274.24,8.25,14.2,426,25.4k,763.9,73.3%,32.3%,22.7%,12
ON,21,12,9,57.1%,0.76,4.24,11.29,2.84,37,1.11,8.5,255,7.8k,234.6,73.5%,4.7%,13.6%,11
Doggo,13,6,7,46.2%,5.46,1.62,4.31,6.05,305.69,9.29,15.1,459,26.1k,793.7,69.4%,38.8%,24.9%,9
HongQ,13,6,7,46.2%,4.46,3.92,5.31,2.49,267.62,8.13,13.8,419,26.5k,806.5,69.4%,31.7%,22.7%,10
JunJia,13,6,7,46.2%,1.77,2.77,7.92,3.5,213.69,6.49,11.7,355,12.8k,388.3,68.9%,12.6%,19.2%,8
Kaiwing,13,6,7,46.2%,0.62,2.85,9.85,3.68,34.31,1.04,8.4,256,5.3k,161.2,74.3%,4.4%,13.9%,8
Driver,7,4,3,57.1%,2.14,2.71,6.57,3.21,261.57,7.44,13.1,373,18.1k,514.3,59.2%,14.6%,19.8%,5
Rest,6,2,4,33.3%,1.33,4.33,4,1.23,216.33,7.14,10.3,338,12.1k,398,40%,10%,18.8%,5
Busio,12,6,6,50%,0.75,3.75,11.75,3.33,30.58,0.91,8.2,246,7.7k,229,78.5%,4.7%,13.4%,8
Bwipo,12,6,6,50%,3.33,3.5,6.42,2.79,263.25,7.87,13.3,399,23.7k,708,61.3%,20.9%,21.7%,12
Inspired,12,6,6,50%,4.92,3,7.5,4.14,228.08,6.82,13.2,394,18.8k,561.2,78%,30.9%,21.4%,8
Massu,12,6,6,50%,4.08,3.08,8.08,3.95,277.25,8.28,14,418,26.3k,785.6,76.4%,25.7%,22.7%,8
Quad,12,6,6,50%,2.83,3,7.33,3.39,260.5,7.78,12.8,382,20.4k,608.6,63.9%,17.8%,20.8%,9
